api_name,active_source_callsite_count,source_callsite_status,code_change_readiness,blocker
SpuGetVoiceVolumeX,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuInitHot,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuIsReverbWorkAreaReserved,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuLSetVoiceAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuNGetVoiceAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuNSetVoiceAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuQuit,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuRGetAllKeysStatus,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuRSetVoiceAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuRead,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuReadDecodedData,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuReserveReverbWorkArea,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetCommonMasterVolumeAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetESA,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetEnv,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetIRQ,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetIRQAddr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetNoiseClock,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetNoiseVoice,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetReverbDepth,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetReverbModeDelayTime,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetReverbModeFeedback,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetReverbModeParam,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceADSR,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceADSRAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceAR,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceARAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceDR,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceLoopStartAddr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceNote,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoicePitch,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceRR,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceRRAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceSL,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceSR,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceSRAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceSampleNote,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceStartAddr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceVolume,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuSetVoiceVolumeAttr,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuStGetStatus,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuStGetVoiceStatus,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuStQuit,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuStTransfer,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuWrite0,0,no-active-source-callsite,blocked,behavior and ABI proof required
SpuWritePartly,0,no-active-source-callsite,blocked,behavior and ABI proof required
