rank,domain_id,subcluster,function,file,line,status,mapped,runtime_focus,nd,caller_count,callee_count,readiness,source_patch_ready,marker_ready,blocker
11,module-spec_psxpc,render-geometry-support,CreateMonoScreen,SPEC_PSXPC/3D_OBJ.C,9,decompiled,yes,no,no,1,6,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
12,module-spec_psxpc,frontend-flow,LoadGame,SPEC_PSXPC/LOADSAVE.C,110,decompiled,yes,no,no,2,4,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
13,module-spec_psxpc,text-debug-rendering,GetStringLength,SPEC_PSXPC/TEXT_S.C,11,decompiled,yes,no,no,3,0,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
14,module-spec_psxpc,frontend-flow,DoPauseMenu,SPEC_PSXPC/SPECIFIC.C,550,decompiled,yes,no,no,1,3,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
15,module-spec_psxpc,frontend-flow,S_control_screen_position,SPEC_PSXPC/SPECIFIC.C,56,decompiled,yes,no,no,0,1,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
16,module-spec_psxpc,render-geometry-support,OptimiseOTagR,SPEC_PSXPC/SHADOWS.C,3,decompiled,yes,no,no,1,0,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
17,module-spec_psxpc,platform-services,mcFormat,SPEC_PSXPC/MEMCARD.C,233,decompiled,yes,no,no,0,3,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
18,module-spec_psxpc,platform-services,cbvsync,SPEC_PSXPC/CD.C,86,decompiled,no,yes,no,0,0,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
19,module-spec_psxpc,render-geometry-support,CalcClipWindow_ONGTE,SPEC_PSXPC/BUBBLES.C,17,decompiled,no,no,no,0,0,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
20,module-spec_psxpc,platform-services,mcDir,SPEC_PSXPC/MEMCARD.C,19,decompiled,no,no,no,0,0,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
21,module-spec_psxpc,platform-services,mcClose,SPEC_PSXPC/MEMCARD.C,81,decompiled,no,no,no,0,0,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
22,module-spec_psxpc,platform-services,mcGetStatus,SPEC_PSXPC/MEMCARD.C,88,decompiled,no,no,no,0,0,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
23,module-spec_psxpc,platform-services,ProfileRGB,SPEC_PSXPC/PROFILE.C,32,decompiled,no,no,no,0,0,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
24,module-spec_psxpc,platform-services,ProfileAddOT,SPEC_PSXPC/PROFILE.C,37,decompiled,no,no,no,0,0,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
25,module-spec_psxpc,platform-services,ProfileReadCount,SPEC_PSXPC/PROFILE.C,42,decompiled,no,no,no,0,0,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
26,module-spec_psxpc,platform-services,ProfileStartCount,SPEC_PSXPC/PROFILE.C,47,decompiled,no,no,no,0,0,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
27,module-spec_psxpc,platform-services,ProfileInit,SPEC_PSXPC/PROFILE.C,52,decompiled,no,no,no,0,0,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
28,module-spec_psxpc,platform-services,ProfileCallBack,SPEC_PSXPC/PROFILE.C,57,decompiled,no,no,no,0,0,blocked,no,no,missing-module-spec-psxpc-source-contract-and-non-raw-equivalence-proof
