original_group,call_ordinal,call_index,call_address,original_size,probable_source_field,save_gap_status,restore_side_status,patch_readiness,next_action
5,10,580,0x80054820,2,object-specific short payload,source-missing-field,needs-original-restore-proof,blocked,prove original restore consumes this payload block before implementing writes
5,11,584,0x80054830,2,object-specific short payload,source-missing-field,needs-original-restore-proof,blocked,prove original restore consumes this payload block before implementing writes
5,12,588,0x80054840,2,object-specific short payload,source-missing-field,needs-original-restore-proof,blocked,prove original restore consumes this payload block before implementing writes
5,13,592,0x80054850,2,object-specific short payload,source-missing-field,needs-original-restore-proof,blocked,prove original restore consumes this payload block before implementing writes
5,14,596,0x80054860,2,object-specific short payload,source-missing-field,needs-original-restore-proof,blocked,prove original restore consumes this payload block before implementing writes
5,15,600,0x80054870,20,object-specific payload block,source-missing-field,needs-original-restore-proof,blocked,prove original restore consumes this payload block before implementing writes
6,1,635,0x800548fc,1,packed byte status/control payload,source-missing-field,restore-source-absent,blocked,RestoreLevelData is unimplemented; add read-side design/proof before serializer patch
6,2,642,0x80054918,4,item flag/data word payload,source-layout-mismatch,restore-layout-unverifiable,blocked,derive restore-side ordering/layout before changing source
6,3,645,0x80054924,4,item auxiliary word payload,source-missing-field,needs-original-restore-proof,blocked,prove original restore consumes this payload block before implementing writes
7,1,698,0x800549f8,1,item loop sentinel/control byte,branch-boundary-or-sentinel,needs-original-restore-proof,blocked,locate matching original RestoreLevelData control byte before source changes
8,1,750,0x80054ac8,1,item branch subtype byte,source-missing-field,restore-source-absent,blocked,RestoreLevelData is unimplemented; add read-side design/proof before serializer patch
8,2,753,0x80054ad4,20,position vector/block payload,source-layout-mismatch,needs-original-restore-proof,blocked,prove original restore consumes this layout block before changing source
8,3,756,0x80054ae0,2,room/rotation payload,source-layout-mismatch,restore-layout-unverifiable,blocked,derive restore-side ordering/layout before changing source
8,4,759,0x80054aec,2,item->speed,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
8,5,762,0x80054af8,2,item->fallspeed,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
8,6,770,0x80054b18,4,item data pointer/word payload,source-missing-field,needs-original-restore-proof,blocked,prove original restore consumes this payload block before implementing writes
8,7,777,0x80054b34,2,item->item_flags[3] payload,source-missing-field,restore-source-absent,blocked,RestoreLevelData is unimplemented; add read-side design/proof before serializer patch
8,8,785,0x80054b54,2,item->item_flags[0] payload,source-missing-field,restore-source-absent,blocked,RestoreLevelData is unimplemented; add read-side design/proof before serializer patch
8,9,788,0x80054b60,2,item->item_flags[1] payload,source-missing-field,restore-source-absent,blocked,RestoreLevelData is unimplemented; add read-side design/proof before serializer patch
8,10,794,0x80054b78,2,item->current_anim_state,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
8,11,797,0x80054b84,2,item->goal_anim_state,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
8,12,800,0x80054b90,2,item->required_anim_state,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
9,1,841,0x80054c34,1,item list/sentinel byte,branch-boundary-or-sentinel,needs-original-restore-proof,blocked,locate matching original RestoreLevelData control byte before source changes
10,1,885,0x80054ce4,2,active control header,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
10,2,891,0x80054cfc,2,item->pos.x_pos packed,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
10,3,897,0x80054d14,2,item->pos.y_pos packed,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
10,4,903,0x80054d2c,2,item->pos.z_pos packed,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
10,5,906,0x80054d38,2,item->pos.y_rot,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
10,6,913,0x80054d54,2,item->pos.x_rot,exact-field-width-match,restore-source-absent,blocked,RestoreLevelData is unimplemented; exact save-side width alone is insufficient
10,7,916,0x80054d60,1,item->room_number,source-layout-mismatch,restore-layout-unverifiable,blocked,derive restore-side ordering/layout before changing source
11,1,946,0x80054dd8,1,item list/sentinel byte,branch-boundary-or-sentinel,needs-original-restore-proof,blocked,locate matching original RestoreLevelData control byte before source changes
