rank,previous_candidate_id,candidate_id,caller_symbol,source_module,source_file,source_line,callee_symbol,callsite_family,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
15,f5d0099b5511,3a208e2bf745,ControlStrobeLight,GAME,GAME/OBJLIGHT.C,34,TriggerActive,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
16,f5d0099b5511,3a208e2bf745,ControlStrobeLight,GAME,GAME/OBJLIGHT.C,49,TriggerAlertLight,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
17,f5d0099b5511,3a208e2bf745,ControlStrobeLight,GAME,GAME/OBJLIGHT.C,54,TriggerDynamic,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
18,f5d0099b5511,3a208e2bf745,SwitchControl,GAME,GAME/SWITCH.C,354,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
19,f5d0099b5511,3a208e2bf745,TurnSwitchCollision,GAME,GAME/SWITCH.C,242,TriggerActive,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
20,f5d0099b5511,3a208e2bf745,TurnSwitchCollision,GAME,GAME/SWITCH.C,294,TriggerActive,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
21,f5d0099b5511,3a208e2bf745,TurnSwitchCollision,GAME,GAME/SWITCH.C,313,ItemPushLara,collision-response-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
22,f5d0099b5511,3a208e2bf745,TurnSwitchCollision,GAME,GAME/SWITCH.C,318,ItemPushLara,collision-response-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
23,f5d0099b5511,3a208e2bf745,ControlExplosion,GAME,GAME/TRAPS.C,656,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
24,f5d0099b5511,3a208e2bf745,ControlRaisingBlock,GAME,GAME/TRAPS.C,650,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
25,f5d0099b5511,3a208e2bf745,ControlRollingBall,GAME,GAME/TRAPS.C,478,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
26,f5d0099b5511,3a208e2bf745,ControlScaledSpike,GAME,GAME/TRAPS.C,644,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
27,f5d0099b5511,3a208e2bf745,ControlTwoBlockPlatform,GAME,GAME/TRAPS.C,558,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
28,f5d0099b5511,3a208e2bf745,FlameEmitter2Control,GAME,GAME/TRAPS.C,327,TriggerActive,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
29,f5d0099b5511,3a208e2bf745,FlameEmitter2Control,GAME,GAME/TRAPS.C,335,FlipMap,effect-state-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
30,f5d0099b5511,3a208e2bf745,FlameEmitter2Control,GAME,GAME/TRAPS.C,353,AddFire,effect-state-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
31,f5d0099b5511,3a208e2bf745,FlameEmitter2Control,GAME,GAME/TRAPS.C,355,AddFire,effect-state-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
32,f5d0099b5511,3a208e2bf745,FlameEmitter2Control,GAME,GAME/TRAPS.C,360,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
33,f5d0099b5511,3a208e2bf745,FlameEmitter2Control,GAME,GAME/TRAPS.C,361,GetRandomControl,control-flow-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
34,f5d0099b5511,3a208e2bf745,FlameEmitter2Control,GAME,GAME/TRAPS.C,369,TriggerDynamic,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
35,f5d0099b5511,3a208e2bf745,FlameEmitter2Control,GAME,GAME/TRAPS.C,372,SoundEffect,effect-state-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
36,f5d0099b5511,3a208e2bf745,FlameEmitter3Control,GAME,GAME/TRAPS.C,379,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
37,f5d0099b5511,3a208e2bf745,FlameEmitterControl,GAME,GAME/TRAPS.C,319,UNIMPLEMENTED,stub-marker,stub-unimplemented,no,no,no,source-backed-callsite-needs-readiness-gate
38,f5d0099b5511,3a208e2bf745,RollingBallCollision,GAME,GAME/TRAPS.C,492,TriggerActive,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
39,f5d0099b5511,3a208e2bf745,RollingBallCollision,GAME,GAME/TRAPS.C,502,ObjectCollision,collision-response-helper,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
40,f5d0099b5511,3a208e2bf745,TrapDoorControl,GAME,GAME/TRAPS.C,173,TriggerActive,dynamic-light-trigger,source-with-calls,no,no,no,source-backed-callsite-needs-readiness-gate
