source_patch_gate_file,row_number,normalized_class,denial_fingerprint
docs/reverse/generated/re227-traps-switches-doors-source-patch-gates.csv,3,upstream-gate-zero-ready,eea90a4c130fb38c
docs/reverse/generated/re227-traps-switches-doors-source-patch-gates.csv,4,upstream-gate-zero-ready,b613172a60f6adaf
docs/reverse/generated/re235-module-spec-psxpc-source-patch-gates.csv,2,source-contract-and-non-raw-equivalence-missing,0f4aca34cc949bf3
docs/reverse/generated/re235-module-spec-psxpc-source-patch-gates.csv,3,upstream-gate-zero-ready,eea90a4c130fb38c
docs/reverse/generated/re235-module-spec-psxpc-source-patch-gates.csv,4,upstream-gate-zero-ready,b613172a60f6adaf
docs/reverse/generated/re243-module-spec-psx-source-patch-gates.csv,2,source-contract-and-non-raw-equivalence-missing,af728e4dde3c2ff0
docs/reverse/generated/re243-module-spec-psx-source-patch-gates.csv,3,upstream-gate-zero-ready,eea90a4c130fb38c
docs/reverse/generated/re243-module-spec-psx-source-patch-gates.csv,4,upstream-gate-zero-ready,b613172a60f6adaf
docs/reverse/generated/re251-lara-combat-source-patch-gates.csv,2,source-contract-and-non-raw-equivalence-missing,9c2023577b04cf5e
docs/reverse/generated/re251-lara-combat-source-patch-gates.csv,3,upstream-gate-zero-ready,eea90a4c130fb38c
docs/reverse/generated/re251-lara-combat-source-patch-gates.csv,4,upstream-gate-zero-ready,b613172a60f6adaf
docs/reverse/generated/re259-inventory-source-patch-gates.csv,2,source-contract-and-non-raw-equivalence-missing,d5594a274aeb567d
docs/reverse/generated/re259-inventory-source-patch-gates.csv,3,source-contract-and-non-raw-equivalence-missing,d5594a274aeb567d
docs/reverse/generated/re259-inventory-source-patch-gates.csv,4,source-contract-and-non-raw-equivalence-missing,d5594a274aeb567d
docs/reverse/generated/re266-input-source-patch-gates.csv,2,state-contract-and-non-raw-equivalence-missing,613a9f7093276eca
docs/reverse/generated/re266-input-source-patch-gates.csv,3,state-contract-and-non-raw-equivalence-missing,613a9f7093276eca
docs/reverse/generated/re266-input-source-patch-gates.csv,4,state-contract-and-non-raw-equivalence-missing,613a9f7093276eca
docs/reverse/generated/re273-camera-source-patch-gates.csv,2,state-contract-and-non-raw-equivalence-missing,87fe926425e5695f
docs/reverse/generated/re273-camera-source-patch-gates.csv,3,state-contract-and-non-raw-equivalence-missing,87fe926425e5695f
docs/reverse/generated/re273-camera-source-patch-gates.csv,4,state-contract-and-non-raw-equivalence-missing,87fe926425e5695f
docs/reverse/generated/re281-animation-items-source-patch-gates.csv,2,state-contract-and-non-raw-equivalence-missing,bc4102a1b23557aa
docs/reverse/generated/re281-animation-items-source-patch-gates.csv,3,state-contract-and-non-raw-equivalence-missing,bc4102a1b23557aa
docs/reverse/generated/re281-animation-items-source-patch-gates.csv,4,state-contract-and-non-raw-equivalence-missing,bc4102a1b23557aa
