rank,candidate_id,context_kind,source_symbol,source_module,source_file,cd_load_audio_role,context_family,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
19,1e35f3f4fb97,caller,GPU_ClearVRAM,SPEC_PSXPC,SPEC_PSXPC/MISC.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
20,1e35f3f4fb97,caller,GPU_FlipToBuffer,SPEC_PSXPC,SPEC_PSXPC/MISC.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
21,1e35f3f4fb97,caller,S_PlayFMV,SPEC_PSXPC,SPEC_PSXPC/MOVIE.C,movie-playback-context,movie-playback,no,no,no,mapped-context-not-direct-candidate-proof
22,1e35f3f4fb97,caller,main,SPEC_PSXPC,SPEC_PSXPC/PSXPCMAIN.C,platform-entry-context,platform-entry,no,no,no,mapped-context-not-direct-candidate-proof
23,1e35f3f4fb97,caller,DEL_CDFS_Read,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
24,1e35f3f4fb97,caller,DEL_ChangeCDMode,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
25,1e35f3f4fb97,caller,InitNewCDSystem,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
26,1e35f3f4fb97,caller,S_CDPlay,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
27,1e35f3f4fb97,caller,S_StartSyncedAudio,SPEC_PSXPC_N,SPEC_PSXPC_N/CD.C,cd-audio-caller,cd-audio-service,no,no,no,mapped-context-not-direct-candidate-proof
28,1e35f3f4fb97,caller,GPU_FlipNoIdle,SPEC_PSXPC_N,SPEC_PSXPC_N/GPU.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
29,1e35f3f4fb97,caller,LOAD_Start,SPEC_PSXPC_N,SPEC_PSXPC_N/LOAD_LEV.C,level-load-caller,level-load-service,no,no,no,mapped-context-not-direct-candidate-proof
30,1e35f3f4fb97,caller,mcOpen,SPEC_PSXPC_N,SPEC_PSXPC_N/MEMCARD.C,memory-card-context,memory-card,no,no,no,mapped-context-not-direct-candidate-proof
31,1e35f3f4fb97,caller,GPU_ClearVRAM,SPEC_PSXPC_N,SPEC_PSXPC_N/MISC.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
32,1e35f3f4fb97,caller,GPU_FlipToBuffer,SPEC_PSXPC_N,SPEC_PSXPC_N/MISC.C,gpu-display-context,gpu-display,no,no,no,mapped-context-not-direct-candidate-proof
33,1e35f3f4fb97,caller,S_PlayFMV,SPEC_PSXPC_N,SPEC_PSXPC_N/MOVIE.C,movie-playback-context,movie-playback,no,no,no,mapped-context-not-direct-candidate-proof
34,1e35f3f4fb97,caller,main,SPEC_PSXPC_N,SPEC_PSXPC_N/PSXMAIN.C,platform-entry-context,platform-entry,no,no,no,mapped-context-not-direct-candidate-proof
