caller,callee,caller_file,callee_file,line,source_line_text,relationship,state_surface,proof_status,patch_ready,blocker
LoadLevel,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,1160,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LoadLevel,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,1179,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LoadLevel,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,1457,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LoadLevel,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,1470,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LoadLevel,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,1659,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LoadLevel,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,1717,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
InitialiseResidentCut,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,4805,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
ReadResidentData,game_malloc,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,4851,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LOAD_Start,game_malloc,SPEC_PSXPC_N/LOAD_LEV.C,SPEC_PSXPC_N/MALLOC.C,344,source-line-contains-callee-call,source-backed-callsite,request-size;aligned-size;malloc-used;malloc-free;arena-buffer,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
main,init_game_malloc,SPEC_PSXPC_N/PSXMAIN.C,SPEC_PSXPC_N/MALLOC.C,118,source-line-contains-callee-call,source-backed-callsite,script-length;malloc-used;malloc-free;arena-zero-fill,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
S_LoadLevelFile,init_game_malloc,SPEC_PSXPC_N/ROOMLOAD.C,SPEC_PSXPC_N/MALLOC.C,78,source-line-contains-callee-call,source-backed-callsite,script-length;malloc-used;malloc-free;arena-zero-fill,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LoadLevel,game_free,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,1084,source-line-contains-callee-call,source-backed-callsite,free-size;aligned-size;malloc-used;malloc-free,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LoadLevel,game_free,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,1085,source-line-contains-callee-call,source-backed-callsite,free-size;aligned-size;malloc-used;malloc-free,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LoadLevel,game_free,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,1145,source-line-contains-callee-call,source-backed-callsite,free-size;aligned-size;malloc-used;malloc-free,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LoadLevel,game_free,GAME/SETUP.C,SPEC_PSXPC_N/MALLOC.C,1485,source-line-contains-callee-call,source-backed-callsite,free-size;aligned-size;malloc-used;malloc-free,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
LOAD_Start,game_free,SPEC_PSXPC_N/LOAD_LEV.C,SPEC_PSXPC_N/MALLOC.C,411,source-line-contains-callee-call,source-backed-callsite,free-size;aligned-size;malloc-used;malloc-free,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence-proof
