rank,domain_id,subcluster,function,file,line,status,mapped,runtime_focus,nd,caller_count,callee_count,readiness,source_patch_ready,marker_ready,blocker
19,animation-items,matrix-transform,iTranslateXYZ2_AI,SPEC_PSXPC_N/ANIMITEM.C,1035,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
20,animation-items,matrix-transform,iTranslateXYZ_AI,SPEC_PSXPC_N/ANIMITEM.C,1165,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
21,animation-items,matrix-transform,mRotSuperPackedYXZ_AI,SPEC_PSXPC_N/ANIMITEM.C,1172,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
22,animation-items,matrix-transform,SetRotation_I_AI,SPEC_PSXPC_N/ANIMITEM.C,1210,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
23,animation-items,matrix-transform,iRotSuperPackedYXZ_AI,SPEC_PSXPC_N/ANIMITEM.C,1417,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
24,animation-items,matrix-transform,iPushMatrix_AI,SPEC_PSXPC_N/ANIMITEM.C,1678,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
25,animation-items,matrix-transform,iPopMatrix_AI,SPEC_PSXPC_N/ANIMITEM.C,1693,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
26,animation-items,matrix-transform,erk_interpolated,SPEC_PSXPC_N/ANIMITEM.C,1718,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
27,animation-items,matrix-transform,stash_the_info,SPEC_PSXPC_N/ANIMITEM.C,2008,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
28,animation-items,animitem-core,DrawAllAnimatingItems_ASM,SPEC_PSXPC_N/ANIMITEM.C,2212,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
29,animation-items,animitem-core,AnimateLara,SPEC_PSXPC_N/CONTROL_S.C,80,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
30,animation-items,runtime-reload,DecodeAnim,SPEC_PSXPC_N/DELTAPAK_S.C,388,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
31,animation-items,runtime-reload,DecodeAnim,SPEC_PC_N/SPECIFIC.CPP,2012,decompiled,repo_only,no,no,0,0,blocked,no,no,missing-animation-item-state-contract-and-non-raw-equivalence-proof
