handoff_file,row_number,source_field,normalized_class,stop_condition_fingerprint
docs/reverse/generated/re214-maths-render-support-handoff.csv,2,stop_condition,generic-handoff-stop-condition,d080efa4cf466e1a
docs/reverse/generated/re221-post-maths-render-support-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,60b3a1f0f94bd28c
docs/reverse/generated/re228-post-traps-switches-doors-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,b709aff8b8fdacf2
docs/reverse/generated/re236-post-module-spec-psxpc-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,759efd1d7638ba12
docs/reverse/generated/re244-post-module-spec-psx-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,55d7407a62adbce6
docs/reverse/generated/re252-post-lara-combat-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,0af2394b59a336fd
docs/reverse/generated/re260-post-inventory-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,14075e24ee2585f8
docs/reverse/generated/re267-post-input-handoff.csv,2,stop_condition,proof-blocked-or-no-marker-patch,16f3a306ea9b7322
docs/reverse/generated/re274-post-camera-handoff.csv,2,stop_condition,generic-handoff-stop-condition,130eaae0aae98042
docs/reverse/generated/re282-post-animation-items-handoff.csv,2,stop_condition,readiness-gate-before-domain-selection,b177b236aa838a23
docs/reverse/generated/re287-post-module-spec-pc-n-handoff.csv,2,stop_condition,generic-handoff-stop-condition,bc7058db88fbdb19
docs/reverse/generated/re290-final-function-priority-handoff.csv,2,stop_condition,upstream-input-refresh-or-change-needed,89f9c62141c17194
docs/reverse/generated/re291-function-priority-refresh-handoff.csv,2,stop_condition,upstream-input-refresh-or-change-needed,1b1cce93de416dde
docs/reverse/generated/re292-post-refresh-evidence-unblock-handoff.csv,2,stop_condition,upstream-input-refresh-or-change-needed,37ba79ebf14a98f6
docs/reverse/generated/re293-evidence-source-inventory-handoff.csv,2,stop_condition,metadata-reduction-before-domain-selection,b3f47c3dd260cf46
docs/reverse/generated/re294-evidence-source-gap-ranking-handoff.csv,2,stop_condition,metadata-reduction-before-domain-selection,c4f18188a393fb1c
docs/reverse/generated/re295-metadata-blocker-extraction-handoff.csv,2,stop_condition,metadata-reduction-before-domain-selection,e1665396329bc4a6
docs/reverse/generated/re296-blocker-reduction-candidate-selection-handoff.csv,2,stop_condition,metadata-reduction-before-domain-selection,29c4ac38467c3b21
docs/reverse/generated/re297-story-tracker-readiness-statement-reduction-handoff.csv,2,stop_condition,metadata-reduction-before-domain-selection,399603b5b2bf8e67
docs/reverse/generated/re298-story-tracker-blocker-taxonomy-readiness-gate-handoff.csv,2,stop_condition,metadata-reduction-before-domain-selection,2f9e958b95cf6666
docs/reverse/generated/re299-generated-markdown-blocker-taxonomy-reduction-handoff.csv,2,stop_condition,metadata-reduction-before-domain-selection,cd685dedd9f2a6bf
docs/reverse/generated/re300-generated-markdown-blocker-taxonomy-readiness-gate-handoff.csv,2,stop_condition,metadata-reduction-before-domain-selection,83d3330aa5f67f35
docs/reverse/generated/re301-proof-audit-blocker-taxonomy-reduction-handoff.csv,2,stop_condition,metadata-reduction-before-domain-selection,a264f5d230b723b4
docs/reverse/generated/re302-proof-audit-blocker-taxonomy-readiness-gate-handoff.csv,2,stop_condition,metadata-reduction-before-domain-selection,13a2d8fe4ddc4b69
docs/reverse/generated/re303-source-patch-gate-denial-reduction-handoff.csv,2,stop_condition,metadata-reduction-before-domain-selection,6b6e6c6f1505c0ba
docs/reverse/generated/re304-source-patch-gate-denial-readiness-gate-handoff.csv,2,stop_condition,metadata-reduction-before-domain-selection,a18217d6624c3f2d
