caller,callee,caller_file,callee_file,line,shape_id,arg1_kind,arg2_kind,state_fields,side_effects,proof_status,patch_ready,blocker
lara_col_turn_r,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,1132,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_fastback,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,1169,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_run,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,1256,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_walk,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,1358,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_stop,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,3189,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_dash,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,4378,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_crawlb,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,4599,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_all4turnlr,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,4670,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_crawl,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,4727,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_all4s,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,4805,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_duck,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,5017,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_ducklr,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,5157,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_slide_slope,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,5842,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
LaraFallen,TestLaraSlide,GAME/LARA.C,GAME/LARA.C,6517,shape-item-coll-predicate,item-pointer,collision-info-pointer,item-position;item-animation;item-goal-state;item-current-state;collision-info;lara-global-state,collision-floor-query;movement-state-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_wade,TestLaraVault,GAME/LARA.C,GAME/LARA.C,683,shape-item-coll-predicate,item-pointer,collision-info-pointer,source-state-not-classified,collision-height-query;animation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_run,TestLaraVault,GAME/LARA.C,GAME/LARA.C,1203,shape-item-coll-predicate,item-pointer,collision-info-pointer,source-state-not-classified,collision-height-query;animation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_walk,TestLaraVault,GAME/LARA.C,GAME/LARA.C,1289,shape-item-coll-predicate,item-pointer,collision-info-pointer,source-state-not-classified,collision-height-query;animation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_as_stop,TestLaraVault,GAME/LARA.C,GAME/LARA.C,3306,shape-item-coll-predicate,item-pointer,collision-info-pointer,source-state-not-classified,collision-height-query;animation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_as_stop,TestLaraVault,GAME/LARA.C,GAME/LARA.C,3355,shape-item-coll-predicate,item-pointer,collision-info-pointer,source-state-not-classified,collision-height-query;animation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
lara_col_dash,TestLaraVault,GAME/LARA.C,GAME/LARA.C,4343,shape-item-coll-predicate,item-pointer,collision-info-pointer,source-state-not-classified,collision-height-query;animation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
TestWall,TestLaraVault,GAME/LARA.C,GAME/LARA.C,5974,shape-item-coll-predicate,item-pointer,collision-info-pointer,source-state-not-classified,collision-height-query;animation-transition-decision,source-callsite-mapped-only,no,missing-non-raw-binary-equivalence
